0.2298_0.0005,0.0005_0.1152,0.1152_0.2298
2023-11-09 04:30:39.536659,2023-11-09 07:15:46.126096,2023-11-10 02:31:32.252152
2023-11-10 05:16:38.841588,2023-11-10 08:01:45.431025,2023-11-11 03:17:31.557121
2023-11-11 06:02:38.146557,2023-11-11 08:47:44.735994,2023-11-12 04:03:30.862090
2023-11-12 06:48:37.451526,2023-11-12 09:33:44.040963,2023-11-13 04:49:30.167018
2023-11-13 07:34:36.756495,2023-11-14 02:50:22.882551,2023-11-14 05:35:29.471987
2023-11-14 08:20:36.061424,2023-11-15 03:36:22.187520,2023-11-15 06:21:28.776956
2023-11-15 09:06:35.366393,2023-11-16 04:22:21.492489,2023-11-16 07:07:28.081926
2023-11-17 02:23:14.207981,2023-11-17 05:08:20.797418,2023-11-17 07:53:27.386854
2023-11-18 03:09:13.512950,2023-11-18 05:54:20.102387,2023-11-18 08:39:26.691823
2023-11-19 03:55:12.817919,2023-11-19 06:40:19.407356,2023-11-20 01:56:05.533452
2023-11-20 04:41:12.122888,2023-11-20 07:26:18.712325,2023-11-21 02:42:04.838381
2023-11-21 05:27:11.427857,2023-11-21 08:12:18.017294,2023-11-22 03:28:04.143350
2023-11-22 06:13:10.732786,2023-11-22 08:58:17.322223,2023-11-23 04:14:03.448319
2023-11-23 06:59:10.037755,2023-11-24 02:14:56.163851,2023-11-24 05:00:02.753288
2023-11-24 07:45:09.342724,2023-11-25 03:00:55.468780,2023-11-25 05:46:02.058216
2023-11-25 08:31:08.647693,2023-11-26 03:46:54.773749,2023-11-26 06:32:01.363185
2023-11-27 01:47:47.489281,2023-11-27 04:32:54.078718,2023-11-27 07:18:00.668154
2023-11-28 02:33:46.794250,2023-11-28 05:18:53.383687,2023-11-28 08:03:59.973123
2023-11-29 03:19:46.099219,2023-11-29 06:04:52.688656,2023-12-01 02:06:38.119681
2023-11-30 04:05:45.404148,2023-11-30 06:50:51.993585,2023-12-02 02:52:37.424650
2023-12-01 04:51:44.709117,2023-12-01 07:36:51.298554,2023-12-03 03:38:36.729578
2023-12-02 05:37:44.014086,2023-12-02 08:22:50.603523,2023-12-04 04:24:36.034547
2023-12-03 06:23:43.319055,2023-12-04 01:39:29.445111,2023-12-05 05:10:35.339516
2023-12-04 07:09:42.623984,2023-12-05 02:25:28.750080,2023-12-06 05:56:34.644485
2023-12-05 07:55:41.928953,2023-12-06 03:11:28.055049,2023-12-07 06:42:33.949414
2023-12-08 01:58:20.075510,2023-12-07 03:57:27.359978,2023-12-08 07:28:33.254383
2023-12-09 02:44:19.380479,2023-12-08 04:43:26.664947,2023-12-11 01:31:11.400940
2023-12-10 03:30:18.685448,2023-12-09 05:29:25.969916,2023-12-12 02:17:10.705909
2023-12-11 04:16:17.990417,2023-12-10 06:15:25.274885,2023-12-13 03:03:10.010878
2023-12-12 05:02:17.295346,2023-12-11 07:01:24.579854,2023-12-14 03:49:09.315847
2023-12-13 05:48:16.600315,2023-12-12 07:47:23.884782,2023-12-15 04:35:08.620776
2023-12-14 06:34:15.905284,2023-12-15 01:50:02.031340,2023-12-16 05:21:07.925745
2023-12-15 07:20:15.210253,2023-12-16 02:36:01.336309,2023-12-17 06:07:07.230714
2023-12-19 02:08:52.661779,2023-12-17 03:22:00.641278,2023-12-18 06:53:06.535683
2023-12-20 02:54:51.966708,2023-12-18 04:07:59.946247,2023-12-22 01:41:43.987209
2023-12-21 03:40:51.271677,2023-12-19 04:53:59.251216,2023-12-23 02:27:43.292138
2023-12-22 04:26:50.576646,2023-12-20 05:39:58.556145,2023-12-24 03:13:42.597107
2023-12-23 05:12:49.881615,2023-12-21 06:25:57.861114,2023-12-25 03:59:41.902076
2023-12-24 05:58:49.186544,2023-12-26 02:00:34.617609,2023-12-26 04:45:41.207045
