ID,q,temp_ratio,omega,r1,r2,i,l1frac,f,EpochHJD,RA_2000,Dec_2000,Period,Vmax,sigma_mag,N_obs,RA_2000_deg,Dec_2000_deg,ShortID
CSS_J011848.4+132107,0.11,0.975,1.94,0.594,0.237,89.6,0.883,0.68,6589.79386,1:18:48,+13:21:07.6,0.3439788,13.21,0.01,300,19.7,13.35211111111111,132107
CSS_J015301.5+223638,0.2,1.026,2.186,0.539,0.269,80.0,0.782,0.36,3653.82712,1:53:02,+22:36:38.4,0.259414,15.92,0.03,274,28.25833333333333,22.610666666666667,223638
CSS_J021552.4+324419,0.11,0.92,1.971,0.58,0.221,79.3,0.909,0.25,5120.91902,2:15:52,+32:44:19.5,0.573798,14.68,0.02,350,33.96666666666666,32.73875,324419
CSS_J022044.4+280006,0.15,0.944,2.063,0.563,0.249,84.7,0.87,0.41,4405.81533,2:20:44,+28:00:06.1,0.7593753,14.42,0.02,356,35.18333333333333,28.001694444444446,280006
CSS_J030702.2+261521,0.09,0.952,1.903,0.599,0.213,81.2,0.91,0.42,5648.62161,3:07:02,+26:15:21.8,0.7283894,13.98,0.02,374,46.75833333333333,26.256055555555555,261521
CSS_J051156.6+011756,0.15,0.925,2.072,0.56,0.245,83.1,0.882,0.32,3703.75981,5:11:57,+01:17:56.5,0.7527221,14.82,0.02,351,77.9875,1.2990277777777777,011756
CSS_J075839.9+131355,0.07,0.869,1.834,0.621,0.203,70.0,0.947,0.61,6358.70319,7:58:40,+13:13:55.7,0.462018,14.88,0.02,293,119.66666666666666,13.232138888888889,131355
CSS_J075848.2+125656,0.08,0.974,1.87,0.609,0.207,81.0,0.909,0.48,4922.69449,7:58:48,+12:56:56.1,0.34998,14.08,0.02,293,119.69999999999999,12.948916666666667,125656
CSS_J080724.7+164610,0.15,1.006,2.058,0.565,0.251,88.5,0.836,0.46,5211.8435,8:07:25,+16:46:10.6,0.3629629,14.39,0.02,415,121.85416666666666,16.76961111111111,164610
CSS_J082140.8+192034,0.1,0.966,1.921,0.597,0.226,75.1,0.891,0.59,5240.76455,8:21:41,+19:20:34.5,0.43234,15.15,0.02,528,125.4208333333333,19.342916666666664,192034
CSS_J082850.5+015641,0.18,1.001,2.132,0.55,0.265,85.7,0.816,0.44,5301.6153,8:28:51,+01:56:41.1,0.4886486,13.37,0.01,346,127.21249999999998,1.94475,015641
CSS_J082916.5+131557,0.19,1.037,2.158,0.545,0.267,83.3,0.786,0.41,5321.64675,8:29:17,+13:15:57.6,0.3729305,13.98,0.02,438,127.3208333333333,13.266,131557
CSS_J084222.2+041155,0.13,1.016,2.0,0.579,0.245,79.5,0.845,0.56,4588.65898,8:42:22,+04:11:55.5,0.2809483,15.67,0.03,381,130.59166666666664,4.19875,041155
CSS_J210300.1+050345,0.1,0.912,1.937,0.59,0.217,82.8,0.917,0.34,4235.88388,21:03:00,+05:03:45.6,0.5921606,13.9,0.01,387,315.75,5.062666666666667,050345
CSS_J211420.2-142710,0.11,1.126,1.976,0.578,0.218,74.3,0.814,0.18,5530.59888,21:14:20,-14:27:11,0.5981238,15.32,0.02,297,318.5833333333333,-14.453055555555554,142710
CSS_J233821.8+200518,0.22,1.003,2.236,0.531,0.275,86.3,0.79,0.33,6167.79999,23:38:22,+20:05:18.2,0.3545902,13.23,0.01,324,354.5916666666666,20.088388888888886,200518
CSS_J234145.7+233158,0.09,1.0,1.882,0.61,0.226,77.7,0.884,0.78,4391.81504,23:41:46,+23:31:58.6,0.5986466,13.91,0.01,309,355.4416666666666,23.532944444444443,233158
CSS_J234324.8+211100,0.11,0.994,1.941,0.594,0.237,80.6,0.87,0.68,5585.57623,23:43:25,+21:11:00.4,0.631068,14.5,0.02,332,355.8541666666666,21.183444444444444,211100
CSS_J234807.2+193717,0.18,1.044,2.137,0.551,0.265,87.9,0.786,0.4,5590.60823,23:48:07,+19:37:17.8,0.380013,15.46,0.03,331,357.02916666666664,19.62161111111111,193717
