,Unnamed: 0,id,xcenter,ycenter,aperture_sum_0,aperture_sum_err_0,aperture_sum_1,aperture_sum_err_1,aperture_sum_2,aperture_sum_err_2,aperture_sum_3,aperture_sum_err_3,aperture_sum_4,aperture_sum_err_4,aperture_sum_5,aperture_sum_err_5,aperture_sum_6,aperture_sum_err_6,aperture_sum_7,aperture_sum_err_7,timestamp,filter,skyflux_0,objflux_0,mag_0,mag_err_0,skyflux_1,objflux_1,mag_1,mag_err_1,skyflux_2,objflux_2,mag_2,mag_err_2,skyflux_3,objflux_3,mag_3,mag_err_3,skyflux_4,objflux_4,mag_4,mag_err_4,skyflux_5,objflux_5,mag_5,mag_err_5,skyflux_6,objflux_6,mag_6,mag_err_6,skyflux_7,objflux_7,mag_7,mag_err_7,timestamp2,refmag_0,dmag_0,refmag_1,dmag_1,refmag_2,dmag_2,refmag_3,dmag_3,refmag_4,dmag_4,refmag_5,dmag_5,refmag_6,dmag_6,refmag_7,dmag_7,times,julian,refflux_0,dflux_0,refflux_1,dflux_1,refflux_2,dflux_2,refflux_3,dflux_3,refflux_4,dflux_4,refflux_5,dflux_5,dflux
8,2,3,1091.249857015716,840.6745112380288,116141.12449363426,389.2789883419075,182805.9845656484,503.9388663690975,219854.04077917832,576.2578214140118,259495.4732940636,652.8069725743305,305759.2183917705,735.6916139504103,361799.1795350857,825.3914698681341,426832.2923052659,919.3828888215598,501002.0954524272,1016.5643250407692,2023-11-09T04:29:44.0000,g,5430.563503714626,110710.56098991964,12.389527371450995,0.0038238529010829,21722.254014858503,161083.73055078983,11.982370802720157,0.0034021655402598,48875.071533431634,170978.96924574667,11.917643263525775,0.0036652483258746,86889.01605943401,172606.45723462958,11.907357403230588,0.0041129839175689,135764.08759286563,169995.13079890487,11.923908795046255,0.0047063973327418,195500.2861337265,166298.89340135918,11.947776601714915,0.0053975898764114,266097.6116820167,160734.6806232492,11.984726020936698,0.0062203681726719,347556.06423773605,153446.03121469112,12.035110849602871,0.0072045767148912,2023-11-09 04:29:44,11.85969240148825,0.5298349699627458,11.451329925646617,0.53104087707354,11.382823631404976,0.534819632120799,11.367760992153071,0.5395964110775164,11.37055493662631,0.5533538584199462,11.382961795790072,0.5648148059248435,11.399621188696054,0.5851048322406438,11.425425997012548,0.6096848525903233,2023-11-09 04:29:44,2460257.687314815,180352.86238355903,-69642.30139363938,262704.81311964296,-101621.08256885313,279814.713609852,-108835.74436410534,283723.6923913126,-111117.23515668305,282994.5197175505,-112999.38891864562,279779.1083054212,-113480.21490406201,53633.07107709092
36,2,3,1091.249857015716,840.6745112380288,115985.6685842342,389.02931889792615,186635.0428220495,508.6656114436955,222694.0994384628,579.3299152465548,260329.38330502223,653.604874013546,305284.9283396816,735.2885751395473,358215.90844408073,822.6736839881127,420277.91133189725,914.9163461293516,490934.1158844376,1010.355409159235,2023-11-09T04:29:44.0000,g,5430.563503714626,110555.10508051956,12.391052995736482,0.0038267738427218,21722.254014858503,164912.78880719095,11.956864159963445,0.0033543417490305,48875.071533431634,173819.02790503117,11.899756708069534,0.0036245817872992,86889.01605943401,173440.36724558825,11.902124538895498,0.0040982114589463,135764.08759286563,169520.84074681596,11.926942255968536,0.0047169794695539,195500.2861337265,162715.62231035423,11.9714268712308,0.0054982897071226,266097.6116820167,154180.29964988056,12.029927786528638,0.006453298694289,347556.06423773605,143378.05164670153,12.10879331376036,0.0076633870724379,2023-11-09 04:29:44,11.904464262524678,0.4865887332118035,11.45444934056338,0.5024148194000642,11.387395820249584,0.5123608878199502,11.37690753157263,0.5252170073228672,11.389797104709046,0.5371451512594891,11.413531635671555,0.5578952355592453,11.446390485587354,0.5835373009412841,11.491536407812156,0.6172569059482047,2023-11-09 04:29:44,2460257.687314815,180352.86238355903,-69797.75730303947,262704.81311964296,-97792.024312452,279814.713609852,-105995.68570482085,283723.6923913126,-110283.32514572438,282994.5197175505,-113473.67897073453,279779.1083054212,-117063.48599506696,50049.79998608597
55,2,3,1091.249857015716,840.6745112380288,92681.60786324754,349.5908110650577,163158.69652208622,478.9522643879223,204126.7451334817,558.9400311397472,247228.12713788083,640.9545711505981,298084.0140138393,729.1420622335082,358875.7835094554,823.1748510601903,430186.4055810665,921.6602084132244,511324.2396537519,1022.8908588656606,2023-11-09T04:29:44.0000,g,5430.563503714626,87251.04435953291,12.648073415023166,0.0043573118215829,21722.254014858503,141436.4425072277,12.123596689561078,0.0036826476846322,48875.071533431634,155251.6736000501,12.022409273669936,0.0039152382049701,86889.01605943401,160339.11107844682,11.987401321161713,0.004347274295323,135764.08759286563,162319.92642097367,11.974070407096898,0.0048850563831729,195500.2861337265,163375.49737572888,11.96703269313897,0.0054794180578326,266097.6116820167,164088.7938990498,11.962302692918527,0.006108311560057,347556.06423773605,163768.17541601585,11.96442622383898,0.006792490703341,2023-11-09 04:29:44,12.014875571696642,0.6331978433265242,11.491842406940906,0.6317542826201716,11.38912429738012,0.6332849762898167,11.356815765672398,0.6305855554893149,11.339933633076008,0.6341367740208899,11.331209342881772,0.6358233502571977,11.327711240295152,0.6345914526233756,11.326778424297396,0.6376477995415843,2023-11-09 04:29:44,2460257.687314815,173067.01173575484,-85815.96737622193,261951.1224815746,-120514.67997434689,278638.851840838,-123387.17824078788,281343.5657258799,-121004.4546474331,278023.2770959502,-115703.35067497654,272011.5503381801,-108636.05296245121,58477.23301870172
63,2,3,1091.249857015716,840.6745112380288,92681.60786324754,349.5908110650577,163158.69652208622,478.9522643879223,204126.7451334817,558.9400311397472,247228.12713788083,640.9545711505981,298084.0140138393,729.1420622335082,358875.7835094554,823.1748510601903,430186.4055810665,921.6602084132244,511324.2396537519,1022.8908588656606,2023-11-09T04:29:44.0000,g,5430.563503714626,87251.04435953291,12.648073415023166,0.0043573118215829,21722.254014858503,141436.4425072277,12.123596689561078,0.0036826476846322,48875.071533431634,155251.6736000501,12.022409273669936,0.0039152382049701,86889.01605943401,160339.11107844682,11.987401321161713,0.004347274295323,135764.08759286563,162319.92642097367,11.974070407096898,0.0048850563831729,195500.2861337265,163375.49737572888,11.96703269313897,0.0054794180578326,266097.6116820167,164088.7938990498,11.962302692918527,0.006108311560057,347556.06423773605,163768.17541601585,11.96442622383898,0.006792490703341,2023-11-09 04:29:44,12.014875571696642,0.6331978433265242,11.491842406940906,0.6317542826201716,11.38912429738012,0.6332849762898167,11.356815765672398,0.6305855554893149,11.339933633076008,0.6341367740208899,11.331209342881772,0.6358233502571977,11.327711240295152,0.6345914526233756,11.326778424297396,0.6376477995415843,2023-11-09 04:29:44,2460257.687314815,156332.67938507497,-69081.63502554205,253083.0369215461,-111646.59441431839,278195.61552117066,-122943.94192112057,286598.3552639058,-126259.24418545896,291089.5044569422,-128769.57803596853,293437.9384399586,-130062.44106422973,37050.844916923204
95,2,3,1091.249857015716,840.6745112380288,108776.39918458552,377.26943219537634,178164.86287612654,498.1495548367223,216953.07709617863,573.1028463905977,256934.74655912287,650.3507019785065,304076.938323691,734.2610579503662,359840.9813554321,823.9073560214631,425309.2526200469,918.3469371340004,499910.9996449697,1015.8932807096252,2023-11-09T04:29:54.0000,g,5430.563503714626,103345.83568087088,12.464267546436815,0.003969976195068,21722.254014858503,156442.60886126803,12.014112375743045,0.0034628522550742,48875.071533431634,168078.005562747,11.936222784927327,0.0037080957937539,86889.01605943401,170045.73049968886,11.923585669600174,0.0041592128559965,135764.08759286563,168312.8507308254,11.934706810648304,0.0047441944988385,195500.2861337265,164340.69522170557,11.960637200331998,0.0054520838460892,266097.6116820167,159211.64093803015,11.995062953770947,0.0062727969402812,347556.06423773605,152354.9354072336,12.04285868154206,0.0072513826993442,2023-11-09 04:29:54,11.92758992905974,0.5366776173770749,11.478365677561284,0.5357466981817609,11.393931304715268,0.5422914802120591,11.373872585800894,0.5497130837992792,11.37275160221238,0.5619552084359238,11.382393170210872,0.5782440301211267,11.404828548369936,0.5902344054010111,11.431092922540092,0.611765759001969,2023-11-09 04:29:54,2460257.6874305555,156332.67938507497,-52986.84370420409,253083.0369215461,-96640.42806027806,278195.61552117066,-110117.60995842365,286598.3552639058,-116552.62476421692,291089.5044569422,-122776.65372611681,293437.9384399586,-129097.24321825305,38016.04276289989
108,2,3,1091.249857015716,840.6745112380288,83224.86713155781,332.25413456635295,157846.6466965709,471.96950169907575,201876.6239908606,556.4182851848152,245762.32438245096,639.5236582359407,297640.02519707737,728.7613887601879,359063.5765325732,823.3174217305083,429557.222863116,921.2334455451536,511191.53070576006,1022.8097686684788,2023-11-09T04:29:54.0000,g,5430.563503714626,77794.30362784318,12.772630506033693,0.0046446379039452,21722.254014858503,136124.3926817124,12.165160112086186,0.0037705720700467,48875.071533431634,153001.55245742894,12.038260406284856,0.0039548937603548,86889.01605943401,158873.30832301694,11.997372651911366,0.004377588568355,135764.08759286563,161875.93760421174,11.977044257708403,0.0048958975744402,195500.2861337265,163563.2903988467,11.965785403344988,0.0054740748608603,266097.6116820167,163459.61118109926,11.966473846164236,0.0061289841863162,347556.06423773605,163635.466468024,11.96530640291452,0.0067974605226815,2023-11-09 04:29:54,12.129321048815555,0.6433094572181375,11.532618492774386,0.6325416193117999,11.40741326575917,0.6308471405256864,11.365456910632933,0.6319157412784335,11.34305296883724,0.6339912888711634,11.33167562436957,0.634109778975418,11.326682727525842,0.639791118638394,11.32146195122912,0.6438444516853998,2023-11-09 04:29:54,2460257.6874305555,181839.4010425541,-104045.09741471091,265659.41220608825,-129535.01952437585,281451.1018198482,-128449.54936241923,283868.1862776711,-124994.87795465413,281141.9237397716,-119265.98613555986,275735.6244751214,-112172.33407627468,54940.95190487825
121,2,3,1091.249857015716,840.6745112380288,120561.74241692272,396.3128853291764,188819.36235814853,511.342452238572,224330.68911186545,581.0928389050061,262105.63060129207,655.3011827466819,306628.683469115,736.4298896313448,359967.73596402793,824.0035038728133,421885.2458007159,916.0136942820004,492519.4736359385,1011.3356265782083,2023-11-09T04:29:54.0000,g,5430.563503714626,115131.17891320807,12.34701762063268,0.0037434712895659,21722.254014858503,167097.10834329002,11.942577664037,0.0033279146618564,48875.071533431634,175455.61757843383,11.889581805950316,0.0036016997975382,86889.01605943401,175216.61454185806,11.891061787917913,0.0040671944158969,135764.08759286563,170864.59587624937,11.918369790659394,0.0046871471580579,195500.2861337265,164467.44983030143,11.959800103827178,0.0054485176938433,266097.6116820167,155787.63411869918,12.01866754520726,0.0063943771799799,347556.06423773605,144963.40939820244,12.09685401340978,0.0075869317538101,2023-11-09 04:29:54,11.850780019488262,0.4962376011444185,11.43918698150726,0.503390682529739,11.376492617080034,0.513089188870282,11.36720819267489,0.5238535952430237,11.377685969481504,0.5406838211778897,11.398767800790344,0.5610323030368338,11.432332379327333,0.5863351658799267,11.475326200509116,0.6215278129006645,2023-11-09 04:29:54,2460257.6874305555,140692.70528544075,-25561.526372232678,243754.47802611985,-76657.36968282983,273548.7242491116,-98093.10667067778,284326.4324022488,-109109.81786039073,290254.4003237024,-119389.804447453,293311.94531043223,-128844.4954801308,38268.79050102213
157,2,3,1091.249857015716,840.6745112380288,120157.63423620405,395.6750792425278,187889.7983775134,510.20500674049504,223388.52873387435,580.0786044764362,261340.51663553464,654.5710411813051,305683.3228284635,735.6271349086899,358829.58973398653,823.1397765075087,420214.23909283936,914.872848997277,491803.05380716233,1010.8927862758396,2023-11-09T04:30:04.0000,g,5430.563503714626,114727.0707324894,12.350835237230395,0.0037506113067209,21722.254014858503,166167.54436265488,11.9486344953126,0.0033390873468007,48875.071533431634,174513.45720044273,11.89542769450484,0.0036148242805341,86889.01605943401,174451.50057610063,11.895813226343384,0.0040804808495994,135764.08759286563,169919.23523559788,11.924393638115372,0.0047080868043219,195500.2861337265,163329.30360026003,11.967339724162972,0.0054807342419262,266097.6116820167,154116.62741082266,12.030376258440604,0.00645565790012,347556.06423773605,144246.98956942628,12.102233104477875,0.0076212745122549,2023-11-09 04:30:04,11.848265422103443,0.502569815126952,11.4423003862379,0.5063341090747002,11.383177964370946,0.5122497301338935,11.374175669877562,0.5216375564658211,11.383722205166675,0.540671432948697,11.408411937074414,0.5589277870885585,11.441461516060132,0.5889147423804726,11.48681069909445,0.6154224053834252,2023-11-09 04:30:04,2460257.6875462965,140692.70528544075,-25965.63455295135,243754.47802611985,-77586.93366346497,273548.7242491116,-99035.26704866887,284326.4324022488,-109874.93182614815,290254.4003237024,-120335.16508810449,293311.94531043223,-129982.6417101722,37130.64427098073
160,2,3,1091.249857015716,840.6745112380288,112214.49186697372,382.9227614941153,180940.12809853003,501.6194397840226,218542.1527659712,574.8332094881755,257373.61896711664,650.7723314709784,304341.3021629428,734.4860502026147,360212.0450538441,824.1887907671756,425025.92871363007,918.154095943602,498502.0031821383,1015.0260655120832,2023-11-09T04:30:04.0000,g,5430.563503714626,106783.9283632591,12.428735265936693,0.0038997301326866,21722.254014858503,159217.87408367154,11.995020447963077,0.0034261928436404,48875.071533431634,169667.0812325395,11.926006028057689,0.0036844572958829,86889.01605943401,170484.60290768265,11.920787094086036,0.0041511954651876,135764.08759286563,168577.2145700772,11.933002815903526,0.0047382060596528,195500.2861337265,164711.7589201176,11.958188487627751,0.0054416595137812,266097.6116820167,158928.31703161338,11.99699678884251,0.0062826599940654,347556.06423773605,150945.93894440227,12.052946416899688,0.0073128224181703,2023-11-09 04:30:04,11.915811920044868,0.5129233458918243,11.463375771196096,0.5316446767669802,11.388703264868624,0.5373027631890643,11.372039822842972,0.5487472712430641,11.3722583866434,0.5607444292601258,11.381500922752911,0.57668756487484,11.400802560885406,0.5961942279571044,11.424805721770388,0.6281406951293,2023-11-09 04:30:04,2460257.6875462965,140692.70528544075,-33908.776922181656,243754.47802611985,-84536.6039424483,273548.7242491116,-103881.64301657211,284326.4324022488,-113841.82949456613,290254.4003237024,-121677.18575362518,293311.94531043223,-128600.18639031463,38513.099590838305
178,2,3,1091.249857015716,840.6745112380288,80993.91209770668,328.0306625336417,156023.825634174,469.549447069114,200629.47939497628,555.0156537193471,244966.5413733024,638.745472908536,296336.8885774486,727.6429337131736,358352.9971660054,822.7778259941491,429815.7810734429,921.4088437372689,511198.31901057815,1022.8139159270622,2023-11-09T04:30:04.0000,g,5430.563503714626,75563.34859399205,12.80422201134913,0.0047209838121665,21722.254014858503,134301.57161931548,12.179797262788323,0.0038021522572727,48875.071533431634,151754.40786154463,12.047146713858384,0.003977344262517,86889.01605943401,158077.52531386836,12.002824678837978,0.0043942723698945,135764.08759286563,160572.80098458298,11.985820042143452,0.0049280555957235,195500.2861337265,162852.71103227892,11.97051251819206,0.0054943567110238,266097.6116820167,163718.1693914262,11.964757800117722,0.0061204698372149,347556.06423773605,163642.2547728421,11.965261362828793,0.0067972061074,2023-11-09 04:30:04,12.167140621281067,0.6370813900680634,11.542512914535749,0.6372843482525745,11.41162436517292,0.6355223486854644,11.367554633601811,0.635270045236167,11.34677645667198,0.6390435854714713,11.339024387678522,0.6314881305135369,11.335775915620744,0.6289818844969783,11.333920162633277,0.6313412001955161,2023-11-09 04:30:04,2460257.6875462965,171267.60790704627,-95704.25931305422,259806.30808909528,-125504.7364697798,278303.51660399465,-126549.10874245001,282607.7522490024,-124530.22693513404,282550.867706117,-121978.066721534,280155.80832485354,-117303.09729257462,49810.18868857832
